name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at,prefecture,category,is_new
関市役所,21961,,,0,,https://www2.njss.info/organizations/proc/4887,2026-08-02,岐阜県,地方公共団体,0
農林水産省(MAFF) 林野庁(FA) 北海道森林管理局,21911,,,0,,https://www2.njss.info/organizations/proc/269,2026-08-02,北海道,国・省庁,0
福島市役所,21572,,,0,,https://www2.njss.info/organizations/proc/4573,2026-08-02,福島県,地方公共団体,0
宇和島市役所,21479,,,0,,https://www2.njss.info/organizations/proc/5026,2026-08-02,愛媛県,地方公共団体,0
水戸市役所,21461,,,0,,https://www2.njss.info/organizations/proc/1747,2026-08-02,茨城県,地方公共団体,0
量子科学技術研究開発機構(QST),21152,,,0,,https://www2.njss.info/organizations/proc/231,2026-08-02,千葉県,国・省庁,0
宮崎市役所,21067,,,0,,https://www2.njss.info/organizations/proc/1776,2026-08-02,宮崎県,地方公共団体,0
防衛省(MOD) 海上自衛隊 舞鶴地方総監部,21041,,,0,,https://www2.njss.info/organizations/proc/72,2026-08-02,京都府,国・省庁,0
横須賀市役所,20976,,,0,,https://www2.njss.info/organizations/proc/1662,2026-08-02,神奈川県,地方公共団体,0
鉄道建設・運輸施設整備支援機構(JRTT),20880,,,0,,https://www2.njss.info/organizations/proc/443,2026-08-02,神奈川県,国・省庁,0
久喜市役所,20841,,,0,,https://www2.njss.info/organizations/proc/4661,2026-08-02,埼玉県,地方公共団体,0
所沢市役所,20271,,,0,,https://www2.njss.info/organizations/proc/1782,2026-08-02,埼玉県,地方公共団体,0
大田区役所,19948,,,0,,https://www2.njss.info/organizations/proc/1804,2026-08-02,東京都,地方公共団体,0
九州大学,19794,,,0,,https://www2.njss.info/organizations/proc/261,2026-08-02,福岡県,国・省庁,0
茅ヶ崎市役所,19789,,,0,,https://www2.njss.info/organizations/proc/1755,2026-08-02,神奈川県,地方公共団体,0
防衛省(MOD) 航空自衛隊 第2補給処 十条支処,19664,,,0,,https://www2.njss.info/organizations/proc/53,2026-08-02,東京都,国・省庁,0
川崎市役所 上下水道局,19504,,,0,,https://www2.njss.info/organizations/proc/4310,2026-08-02,神奈川県,地方公共団体,0
建築研究所(BRI),19375,,,0,,https://www2.njss.info/organizations/proc/497,2026-08-02,茨城県,国・省庁,0
板橋区役所,19112,,,0,,https://www2.njss.info/organizations/proc/1848,2026-08-02,東京都,地方公共団体,0
藤沢市役所,19094,,,0,,https://www2.njss.info/organizations/proc/1667,2026-08-02,神奈川県,地方公共団体,0
物質・材料研究機構(NIMS),19066,,,0,,https://www2.njss.info/organizations/proc/230,2026-08-02,茨城県,国・省庁,0
調布市役所,18981,,,0,,https://www2.njss.info/organizations/proc/4331,2026-08-02,東京都,地方公共団体,0
防衛省(MOD) 海上自衛隊 厚木航空基地隊,18837,,,0,,https://www2.njss.info/organizations/proc/88,2026-08-02,神奈川県,国・省庁,0
小田原市役所,18731,,,0,,https://www2.njss.info/organizations/proc/1754,2026-08-02,神奈川県,地方公共団体,0
豊川市役所,18712,,,0,,https://www2.njss.info/organizations/proc/4623,2026-08-02,愛知県,地方公共団体,0
台東区役所,18437,,,0,,https://www2.njss.info/organizations/proc/1799,2026-08-02,東京都,地方公共団体,0
国土交通省(MLIT) 北海道開発局 室蘭開発建設部,18134,,,0,,https://www2.njss.info/organizations/proc/4588,2026-08-02,北海道,国・省庁,0
上尾市役所,17851,,,0,,https://www2.njss.info/organizations/proc/4568,2026-08-02,埼玉県,地方公共団体,0
都城市役所,17836,,,0,,https://www2.njss.info/organizations/proc/4759,2026-08-02,宮崎県,地方公共団体,0
成田市役所,17835,,,0,,https://www2.njss.info/organizations/proc/4658,2026-08-02,千葉県,地方公共団体,0
農林水産省(MAFF) 林野庁(FA) 九州森林管理局,17793,,,0,,https://www2.njss.info/organizations/proc/1333,2026-08-02,熊本県,国・省庁,0
小牧市役所,17762,,,0,,https://www2.njss.info/organizations/proc/4627,2026-08-02,愛知県,地方公共団体,0
福井市役所,17709,,,0,,https://www2.njss.info/organizations/proc/1785,2026-08-02,福井県,地方公共団体,0
内閣府(CAO) 国家公安委員会 警察庁,17708,,,0,,https://www2.njss.info/organizations/proc/350,2026-08-02,東京都,国・省庁,0
盛岡市役所,17499,,,0,,https://www2.njss.info/organizations/proc/1716,2026-08-02,岩手県,地方公共団体,0
松阪市役所,17159,,,0,,https://www2.njss.info/organizations/proc/4729,2026-08-02,三重県,地方公共団体,0
防衛省(MOD) 海上自衛隊 鹿屋航空基地隊,17136,,,0,,https://www2.njss.info/organizations/proc/76,2026-08-02,鹿児島県,国・省庁,0
国土交通省(MLIT) 北海道開発局 旭川開発建設部,16961,,,0,,https://www2.njss.info/organizations/proc/4590,2026-08-02,北海道,国・省庁,0
内閣府(CAO) 沖縄総合事務局,16922,,,0,,https://www2.njss.info/organizations/proc/422,2026-08-02,沖縄県,国・省庁,0
市川市役所,16846,,,0,,https://www2.njss.info/organizations/proc/4513,2026-08-02,千葉県,地方公共団体,0
大垣市役所,16845,,,0,,https://www2.njss.info/organizations/proc/4725,2026-08-02,岐阜県,地方公共団体,0
佐賀市役所,16823,,,0,,https://www2.njss.info/organizations/proc/4620,2026-08-02,佐賀県,地方公共団体,0
防衛省(MOD) 防衛医科大学校,16782,,,0,,https://www2.njss.info/organizations/proc/49,2026-08-02,埼玉県,国・省庁,0
